Sectors,Units,2015,2016,2017,2018,2019
General (Total current employment in Malaysia),RM mil,0,86203.38555,89150.0583,91176.12,93116.35529
Agriculture - General,RM mil,0,57432.62238,54158.58311,53825.75758,54543.34949
Mining and Quarrying - General,RM mil,0,1364870.466,1290707.317,1494710.145,1450928.571
Manufacturing - General,RM mil,0,113087.9438,117834.8884,120445.2785,122239.1808
Manufacturing - Vegetable and Animal Oils & Fats and Food Processing,RM mil,,,71050,67884.79263,68639.63964
Manufacturing - Beverages and Tobacco Products,RM mil,,,477722.2222,464315.7895,484052.6316
"Manufacturing - Textiles, Wearing Apparel and Leather Products ",RM mil,,,25030.837,24786.61088,24525.4902
"Manufacturing - Wood Products, Furniture, Paper Products and Printing",RM mil,,,68017.30104,67442.62295,70022.58065
"Manufacturing - Petroleum, Chemical, Rubber and Plastic Products",RM mil,,,215187.3418,222125.6281,223624.0786
"Manufacturing - Non-Metallic Mineral Products, Basic Metal and Fabricated Metal Products  ",RM mil,,,96144.8468,100605.5556,103453.2967
"Manufacturing - Electrical, Electronic and Optical Products",RM mil,,,113948.8055,124419.5804,125974.271
"Manufacturing - Transport Equipment, Other Manufacturing and Repair",RM mil,,,143314.1361,141417.4757,148864.7343
Construction - General,RM mil,0,47206.09234,47263.39286,43421.63934,44375.08372
Services - General,RM mil,,,81614.7504,86135.58755,88602.63898
Services - Utilities,RM mil,,,199709.3023,346413.4615,360339.6226
Services - Wholesale and Retail Trade,RM mil,,,72776.78224,83421.52835,86413.68337
Services - Food & Beverages and Accommodation,RM mil,0,30582.81484,33558.68167,28871.11111,29425.02952
Services - Transportation and Storage,RM mil,0,69822.55025,67274.92877,93020.37037,96842.96029
Services - Information and Communication,RM mil,0,326862.5546,310582.9787,333675.1055,337108
Services - Finance and Insurance,RM mil,0,216938.9949,217149.1003,243239.782,249962.5668
Services - Real Estate and Business Services,RM mil,,,56765.38462,57438.51718,60065.78947
